Name,Type,County,State,Country,Population,Area_sq_mi,Area_sq_km,Population_density_sq_mi,Population_density_sq_km
Apache Junction,City,Pinal,AZ,USA,"35,840",35,90.6,"1,024.20",395.4
Avondale,City,Maricopa,AZ,USA,"76,238",45.65,118.2,"1,672.00",645.6
Benson,City,Cochise,AZ,USA,"5,105",41.46,107.4,123.3,47.6
Bisbee,City,Cochise,AZ,USA,"5,575",5.16,13.4,"1,080.30",417.1
Buckeye,City,Maricopa,AZ,USA,"50,876",375.39,972.3,135.6,52.4
Bullhead City,City,Mohave,AZ,USA,"39,540",60.18,155.9,665.9,257.1
Camp Verde,Town,Yavapai,AZ,USA,"10,873",43.15,111.8,252,97.3
Carefree,Town,Maricopa,AZ,USA,"3,363",8.81,22.8,382.2,147.6
Casa Grande,City,Pinal,AZ,USA,"48,571",109.67,284,442.9,171
Cave Creek,Town,Maricopa,AZ,USA,"5,015",37.92,98.2,132.3,51.1
Chandler,City,Maricopa,AZ,USA,"236,123",64.52,167.1,"3,665.80","1,415.40"
Chino Valley,Town,Yavapai,AZ,USA,"10,817",63.43,164.3,170.7,65.9
Clarkdale,Town,Yavapai,AZ,USA,"4,097",10.57,27.4,393.1,151.8
Clifton,Town,Greenlee,AZ,USA,"3,311",15,38.8,226.7,87.5
Colorado City,Town,Mohave,AZ,USA,"4,821",10.34,26.8,466.5,180.1
Coolidge,City,Pinal,AZ,USA,"11,825",56.58,146.5,209.3,80.8
Cottonwood,City,Yavapai,AZ,USA,"11,265",16.41,42.5,686.5,265.1
Dewey-Humboldt,Town,Yavapai,AZ,USA,"3,894",18.59,48.1,209.5,80.9
Douglas,City,Cochise,AZ,USA,"17,378",9.98,25.8,"1,741.00",672.2
Duncan,Town,Greenlee,AZ,USA,696,2.16,5.6,323,124.7
Eagar,Town,Apache,AZ,USA,"4,885",11.24,29.1,434.9,167.9
El Mirage,City,Maricopa,AZ,USA,"31,797",10.09,26.1,"3,170.70","1,224.20"
Eloy,City,Pinal,AZ,USA,"16,631",111.57,289,149.1,57.6
Flagstaff,City,Coconino,AZ,USA,"65,870",63.91,165.5,"1,031.30",398.2
Florence,Town,Pinal,AZ,USA,"25,536",52.49,135.9,486.9,188
Fountain Hills,Town,Maricopa,AZ,USA,"22,489",20.42,52.9,"1,106.20",427.1
Fredonia,Town,Coconino,AZ,USA,"1,314",7.32,19,179.4,69.3
Gila Bend,Town,Maricopa,AZ,USA,"1,922",55.37,143.4,34.7,13.4
Gilbert,Town,Maricopa,AZ,USA,"208,453",68.15,176.5,"3,067.20","1,184.30"
Glendale,City,Maricopa,AZ,USA,"226,721",60.13,155.7,"3,780.20","1,459.50"
Globe,City,Gila,AZ,USA,"7,532",18.2,47.1,414.2,159.9
Goodyear,City,Maricopa,AZ,USA,"65,275",191.52,496,340.9,131.6
Guadalupe,Town,Maricopa,AZ,USA,"5,523",0.81,2.1,"6,833.00","2,638.20"
Hayden,Town,Gila,AZ,USA,662,1.27,3.3,523.2,202
Holbrook,City,Navajo,AZ,USA,"5,053",17.37,45,291.3,112.5
Huachuca City,Town,Cochise,AZ,USA,"1,853",2.81,7.3,659.2,254.5
Jerome,Town,Yavapai,AZ,USA,444,0.86,2.2,514,198.5
Kearny,Town,Pinal,AZ,USA,"1,950",2.81,7.3,706,272.6
Kingman,City,Mohave,AZ,USA,"28,068",34.82,90.2,806.1,311.2
Lake Havasu City,City,Mohave,AZ,USA,"52,527",44.48,115.2,"1,182.10",456.4
Litchfield Park,City,Maricopa,AZ,USA,"5,476",3.34,8.7,"1,653.70",638.5
Mammoth,Town,Pinal,AZ,USA,"1,426",1.04,2.7,"1,372.60",530
Marana,Town,Pima,AZ,USA,"34,961",122.2,316.5,287.8,111.1
Maricopa,City,Pinal,AZ,USA,"43,482",47.57,123.2,916,353.7
Mesa,City,Maricopa,AZ,USA,"439,041",137.06,355,"3,217.50","1,242.30"
Miami,Town,Gila,AZ,USA,"1,837",0.88,2.3,"2,085.80",805.3
Nogales,City,Santa Cruz,AZ,USA,"20,837",20.84,54,"1,001.00",386.5
Oro Valley,Town,Pima,AZ,USA,"41,011",35.64,92.3,"1,154.30",445.7
Page,City,Coconino,AZ,USA,"7,247",16.64,43.1,435.9,168.3
Paradise Valley,Town,Maricopa,AZ,USA,"12,820",15.46,40,830.9,320.8
Parker,Town,La Paz,AZ,USA,"3,083",21.99,57,140.3,54.2
Patagonia,Town,Santa Cruz,AZ,USA,913,1.29,3.3,709.1,273.8
Payson,Town,Gila,AZ,USA,"15,301",19.47,50.4,786,303.5
Peoria,City,Maricopa,AZ,USA,"154,065",177.97,460.9,883.4,341.1
Phoenix,City,Maricopa,AZ,USA,"1,445,632",517.95,"1,341.50","2,797.80","1,080.20"
Pima,Town,Graham,AZ,USA,"2,387",5.93,15.4,405.7,156.6
Pinetop-Lakeside,Town,Navajo,AZ,USA,"4,282",11.37,29.4,379.1,146.4
Prescott,City,Yavapai,AZ,USA,"39,843",41.58,107.7,963.8,372.1
Prescott Valley,Town,Yavapai,AZ,USA,"38,822",38.65,100.1,"1,004.40",387.8
Quartzsite,Town,La Paz,AZ,USA,"3,677",36.72,95.1,100.1,38.6
Queen Creek,Town,Maricopa,AZ,USA,"26,361",28.07,72.7,940.1,363
Safford,City,Graham,AZ,USA,"9,566",8.59,22.2,"1,117.40",431.4
Sahuarita,Town,Pima,AZ,USA,"25,259",31.04,80.4,813.8,314.2
San Luis,City,Yuma,AZ,USA,"25,505",32.1,83.1,796.3,307.5
Scottsdale,City,Maricopa,AZ,USA,"217,385",184.4,477.6,"1,182.00",456.4
Sedona,City,Yavapai,AZ,USA,"10,031",19.18,49.7,524.1,202.4
Show Low,City,Navajo,AZ,USA,"10,660",41.17,106.6,260.4,100.5
Sierra Vista,City,Cochise,AZ,USA,"43,888",152.54,395.1,288.2,111.3
Snowflake,Town,Navajo,AZ,USA,"5,590",33.58,87,166.8,64.4
Somerton,City,Yuma,AZ,USA,"14,287",7.3,18.9,"1,959.80",756.7
South Tucson,City,Pima,AZ,USA,"5,652",1.04,2.7,"5,423.10","2,093.90"
Springerville,Town,Apache,AZ,USA,"1,961",11.69,30.3,170.1,65.7
St. Johns,City,Apache,AZ,USA,"3,480",26.08,67.5,134.3,51.9
Star Valley,Town,Gila,AZ,USA,"1,970",36.13,93.6,64,24.7
Superior,Town,Pinal,AZ,USA,"2,837",1.94,5,"1,463.10",564.9
Surprise,City,Maricopa,AZ,USA,"117,517",105.87,274.2,"1,111.30",429.1
Taylor,Town,Navajo,AZ,USA,"4,112",32.67,84.6,125.9,48.6
Tempe,City,Maricopa,AZ,USA,"161,719",40.19,104.1,"4,050.10","1,563.80"
Thatcher,Town,Graham,AZ,USA,"4,865",6.13,15.9,724.6,279.8
Tolleson,City,Maricopa,AZ,USA,"6,545",5.75,14.9,"1,139.20",439.8
Tombstone,City,Cochise,AZ,USA,"1,380",4.31,11.2,319.9,123.5
Tucson,City,Pima,AZ,USA,"520,116",227.03,588,"2,294.20",885.8
Tusayan,Town,Coconino,AZ,USA,558,8.91,23.1,62.6,24.2
Wellton,Town,Yuma,AZ,USA,"2,882",28.93,74.9,99.6,38.5
Wickenburg,Town,Maricopa,AZ,USA,"6,363",18.77,48.6,339.1,130.9
Willcox,City,Cochise,AZ,USA,"3,757",6.28,16.3,611,235.9
Williams,City,Coconino,AZ,USA,"3,023",43.79,113.4,69.6,26.9
Winkelman,Town,Gila,AZ,USA,353,0.75,1.9,473.9,183
Winslow,City,Navajo,AZ,USA,"9,655",12.35,32,785.1,303.1
Youngtown,Town,Maricopa,AZ,USA,"6,156",1.54,4,"4,016.10","1,550.60"
Yuma,City,Yuma,AZ,USA,"93,064",120.41,311.9,773.7,298.7
